# Distance = 7.72 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.45	8.41	1.58	8.40	9.99	0.00	26.06	0.00
0.90	17.80	2.22	13.51	15.52	0.00	19.64	0.00
1.35	26.00	2.35	16.70	20.76	0.00	12.17	0.00
1.80	30.90	2.22	18.72	21.37	0.00	4.50	0.00
2.25	34.70	1.82	19.90	19.92	0.00	2.10	0.00
2.69	38.80	1.81	20.61	18.76	0.00	1.13	0.00
3.14	42.50	1.57	20.73	17.36	0.00	0.54	0.00
3.59	45.60	1.59	20.61	16.32	0.00	0.37	0.00
4.04	48.80	1.83	20.38	15.37	0.00	0.18	0.00
4.49	51.80	1.91	19.90	14.49	0.00	0.10	0.00
4.94	54.80	2.19	19.43	13.72	0.00	0.05	0.00
5.39	56.60	2.73	18.84	13.04	0.00	0.03	0.00
5.84	58.40	3.27	18.25	12.45	0.00	0.01	0.00
6.29	58.50	3.95	17.65	11.93	0.00	0.01	0.00
6.74	57.70	4.07	17.06	11.48	0.00	0.00	0.00
7.19	57.30	3.94	16.47	11.08	0.00	0.00	0.00
