# Distance = 15.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.96	22.90	2.71	4.08	14.85	0.00	16.45	0.00
1.92	33.50	2.71	6.24	21.20	0.00	7.40	0.00
2.88	37.20	4.19	7.45	20.56	0.00	2.72	0.00
3.83	35.90	5.98	8.09	20.08	0.00	1.79	0.00
