0.63	265	15
1.72	250	15
2.79	233	7.29
3.91	230	6.45
5.03	228	5.37
6.14	228	5.16
7.26	227	5.94
8.37	226	3
9.5	223	3.92
10.65	219	2.9
11.74	216	2.55
12.82	214	2.55
14.01	214	3.07
15.09	214	3.61
16.18	214	4.46
17.36	214	5.07
18.44	214	4.78
19.53	214	4.87
