#NGC 3198 #Karukes, 2015 https://doi.org/10.1051/0004-6361/201425339
# Rad	Vobs	errV
# kpc	km/s	km/s
2	79	7
3	97.8	5
4	118	5.6
5.5	139.4	4.3
6	144.2	4.3
7	143.3	4.5
8	150.3	4.3
9	149.9	4.3
10.1	152.1	4.3
11	151.1	4.5
12.1	156.2	4.3
14.1	161	4.3
16.1	155.3	4.3
18.1	148.7	4.3
20.1	149.1	4.3
22.1	148.4	4.3
24.1	146.2	4.3
26.1	145.5	4.3
28.1	147.3	4.3
30.2	146.5	4.3
32.2	148.4	4.3
34.2	149.3	5
36.2	149.9	4.3
38.2	149.3	4.3
40.2	150	4.6
42.1	147.6	7
44.2	149.8	4.3
46.2	151.5	4.3
48.2	151.9	7.7
