#UGC 2953 #SPARC 2016 https://iopscience.iop.org/article/10.3847/0004-6256/152/6/157
# Rad	Vobs	errV
# kpc	km/s	km/s
0.09	231	52.9
0.17	231	27.9
0.26	231	16.4
0.34	231	11.9
0.43	232	8.04
0.51	232	6.53
0.6	232	4.75
0.69	232	4
0.77	233	5.69
0.86	233	4.83
0.95	234	10.8
1.03	235	10.3
1.11	235	10.6
1.2	236	10.2
1.29	237	10.6
1.38	238	14.2
1.46	238	14.1
1.55	239	19.6
1.63	240	17.8
1.72	241	7.14
1.8	242	11.9
1.89	243	10.9
1.98	244	17.6
2.07	246	11.4
2.15	247	12.9
2.23	248	15.4
2.32	249	17.6
2.4	251	24
2.49	252	10.1
2.58	253	12
2.67	254	6.34
2.75	256	6.22
2.83	257	5.6
2.92	259	8.73
3	260	5.19
3.09	262	11
3.18	263	16
3.27	264	13.1
3.35	266	11.8
3.43	267	12.7
4.21	280	5.52
4.29	282	2.35
4.38	283	5.1
4.47	285	4.61
4.8	290	10.8
5.25	296	2.85
5.32	298	1.92
5.41	299	4.29
5.5	300	4.92
5.58	301	2.24
5.67	302	4.59
5.76	303	5.07
6	306	7.89
6.18	307	4.41
6.27	308	3.2
6.36	309	6.66
6.45	310	5.83
6.53	310	3.83
6.61	311	2.41
6.7	312	1.25
6.79	312	3.61
6.87	313	13.8
6.96	313	4.58
7.05	314	3.05
7.2	315	1.38
7.39	316	0.75
7.47	316	8.57
7.99	318	1.36
8.08	318	16
8.16	318	5.5
8.25	319	2.94
8.34	319	1.74
8.4	319	2.2
9.59	319	3.23
10.8	317	4.08
12.02	312	2.62
13.22	308	0.76
14.42	303	1.86
15.63	298	1.34
16.83	296	1.41
18.03	294	1.15
19.23	294	0.59
20.43	294	0.5
21.64	292	1.21
22.84	290	1.21
24.04	287	0.81
25.24	283	1.08
26.44	279	1.87
27.65	276	1.55
28.85	273	1.9
30.05	271	1.12
31.25	270	1.41
32.34	268	1.76
33.55	267	1.81
34.75	266	2.18
35.95	265	3.01
37.15	264	2.04
38.35	264	1.58
39.56	264	3.23
40.76	264	2.94
41.96	264	1.62
43.16	264	2.15
44.36	262	4.45
45.57	260	7.43
46.77	258	7.22
47.97	257	5.37
49.17	258	5.43
50.37	260	6.47
51.58	263	5.75
52.78	265	5.54
53.98	266	4.43
55.18	266	4.71
57.59	262	5.28
59.99	263	4.7
62.39	272	5.04
